,code,description,icd10cm_code
573,A75.3,Typhus fever due to Rickettsia tsutsugamushi,A753
574,A75.9,"Typhus fever, unspecified",A759
575,A77,Spotted fever [tick-borne rickettsioses],A77
576,A77.0,Spotted fever due to Rickettsia rickettsii,A770
577,A77.1,Spotted fever due to Rickettsia conorii,A771
578,A77.2,Spotted fever due to Rickettsia siberica,A772
579,A77.3,Spotted fever due to Rickettsia australis,A773
580,A77.4,Ehrlichiosis,A774
581,A77.40,"Ehrlichiosis, unspecified",A7740
582,A77.41,Ehrlichiosis chafeensis [E. chafeensis],A7741
583,A77.49,Other ehrlichiosis,A7749
584,A77.8,Other spotted fevers,A778
585,A77.9,"Spotted fever, unspecified",A779
586,A78,Q fever,A78
587,A79,Other rickettsioses,A79
588,A79.0,Trench fever,A790
589,A79.1,Rickettsialpox due to Rickettsia akari,A791
590,A79.8,Other specified rickettsioses,A798
591,A79.81,Rickettsiosis due to Ehrlichia sennetsu,A7981
592,A79.82,Anaplasmosis [A. phagocytophilum],A7982
593,A79.89,Other specified rickettsioses,A7989
594,A79.9,"Rickettsiosis, unspecified",A799
595,A80,Acute poliomyelitis,A80
596,A80.0,"Acute paralytic poliomyelitis, vaccine-associated",A800
597,A80.1,"Acute paralytic poliomyelitis, wild virus, imported",A801
598,A80.2,"Acute paralytic poliomyelitis, wild virus, indigenous",A802
599,A80.3,"Acute paralytic poliomyelitis, other and unspecified",A803
600,A80.30,"Acute paralytic poliomyelitis, unspecified",A8030
601,A80.39,Other acute paralytic poliomyelitis,A8039
602,A80.4,Acute nonparalytic poliomyelitis,A804
603,A80.9,"Acute poliomyelitis, unspecified",A809
604,A81,Atypical virus infections of central nervous system,A81
605,A81.0,Creutzfeldt-Jakob disease,A810
606,A81.00,"Creutzfeldt-Jakob disease, unspecified",A8100
607,A81.01,Variant Creutzfeldt-Jakob disease,A8101
608,A81.09,Other Creutzfeldt-Jakob disease,A8109
609,A81.1,Subacute sclerosing panencephalitis,A811
610,A81.2,Progressive multifocal leukoencephalopathy,A812
611,A81.8,Other atypical virus infections of central nervous system,A818
612,A81.81,Kuru,A8181
613,A81.82,Gerstmann-Sträussler-Scheinker syndrome,A8182
614,A81.83,Fatal familial insomnia,A8183
615,A81.89,Other atypical virus infections of central nervous system,A8189
616,A81.9,"Atypical virus infection of central nervous system, unspecified",A819
617,A82,Rabies,A82
618,A82.0,Sylvatic rabies,A820
619,A82.1,Urban rabies,A821
620,A82.9,"Rabies, unspecified",A829
621,A83,Mosquito-borne viral encephalitis,A83
622,A83.0,Japanese encephalitis,A830
623,A83.1,Western equine encephalitis,A831
624,A83.2,Eastern equine encephalitis,A832
625,A83.3,St Louis encephalitis,A833
626,A83.4,Australian encephalitis,A834
627,A83.5,California encephalitis,A835
628,A83.6,Rocio virus disease,A836
629,A83.8,Other mosquito-borne viral encephalitis,A838
630,A83.9,"Mosquito-borne viral encephalitis, unspecified",A839
631,A84,Tick-borne viral encephalitis,A84
632,A84.0,Far Eastern tick-borne encephalitis [Russian spring-summer encephalitis],A840
633,A84.1,Central European tick-borne encephalitis,A841
634,A84.8,Other tick-borne viral encephalitis,A848
635,A84.81,Powassan virus disease,A8481
636,A84.89,Other tick-borne viral encephalitis,A8489
637,A84.9,"Tick-borne viral encephalitis, unspecified",A849
638,A85,"Other viral encephalitis, not elsewhere classified",A85
639,A85.0,Enteroviral encephalitis,A850
640,A85.1,Adenoviral encephalitis,A851
641,A85.2,"Arthropod-borne viral encephalitis, unspecified",A852
642,A85.8,Other specified viral encephalitis,A858
643,A86,Unspecified viral encephalitis,A86
644,A87,Viral meningitis,A87
645,A87.0,Enteroviral meningitis,A870
646,A87.1,Adenoviral meningitis,A871
647,A87.2,Lymphocytic choriomeningitis,A872
648,A87.8,Other viral meningitis,A878
649,A87.9,"Viral meningitis, unspecified",A879
650,A88,"Other viral infections of central nervous system, not elsewhere classified",A88
651,A88.0,Enteroviral exanthematous fever [Boston exanthem],A880
652,A88.1,Epidemic vertigo,A881
653,A88.8,Other specified viral infections of central nervous system,A888
654,A89,Unspecified viral infection of central nervous system,A89
655,A90,Dengue fever [classical dengue],A90
656,A91,Dengue hemorrhagic fever,A91
657,A92,Other mosquito-borne viral fevers,A92
658,A92.0,Chikungunya virus disease,A920
659,A92.1,O'nyong-nyong fever,A921
660,A92.2,Venezuelan equine fever,A922
661,A92.3,West Nile virus infection,A923
662,A92.30,"West Nile virus infection, unspecified",A9230
663,A92.31,West Nile virus infection with encephalitis,A9231
664,A92.32,West Nile virus infection with other neurologic manifestation,A9232
665,A92.39,West Nile virus infection with other complications,A9239
666,A92.4,Rift Valley fever,A924
667,A92.5,Zika virus disease,A925
668,A92.8,Other specified mosquito-borne viral fevers,A928
669,A92.9,"Mosquito-borne viral fever, unspecified",A929
670,A93,"Other arthropod-borne viral fevers, not elsewhere classified",A93
671,A93.0,Oropouche virus disease,A930
672,A93.1,Sandfly fever,A931
673,A93.2,Colorado tick fever,A932
674,A93.8,Other specified arthropod-borne viral fevers,A938
675,A94,Unspecified arthropod-borne viral fever,A94
676,A95,Yellow fever,A95
677,A95.0,Sylvatic yellow fever,A950
678,A95.1,Urban yellow fever,A951
679,A95.9,"Yellow fever, unspecified",A959
680,A96,Arenaviral hemorrhagic fever,A96
681,A96.0,Junin hemorrhagic fever,A960
682,A96.1,Machupo hemorrhagic fever,A961
683,A96.2,Lassa fever,A962
684,A96.8,Other arenaviral hemorrhagic fevers,A968
685,A96.9,"Arenaviral hemorrhagic fever, unspecified",A969
686,A98,"Other viral hemorrhagic fevers, not elsewhere classified",A98
687,A98.0,Crimean-Congo hemorrhagic fever,A980
688,A98.1,Omsk hemorrhagic fever,A981
689,A98.2,Kyasanur Forest disease,A982
690,A98.3,Marburg virus disease,A983
691,A98.4,Ebola virus disease,A984
692,A98.5,Hemorrhagic fever with renal syndrome,A985
693,A98.8,Other specified viral hemorrhagic fevers,A988
694,A99,Unspecified viral hemorrhagic fever,A99
695,B00,Herpesviral [herpes simplex] infections,B00
696,B00.0,Eczema herpeticum,B000
697,B00.1,Herpesviral vesicular dermatitis,B001
698,B00.2,Herpesviral gingivostomatitis and pharyngotonsillitis,B002
699,B00.3,Herpesviral meningitis,B003
700,B00.4,Herpesviral encephalitis,B004
701,B00.5,Herpesviral ocular disease,B005
702,B00.50,"Herpesviral ocular disease, unspecified",B0050
703,B00.51,Herpesviral iridocyclitis,B0051
704,B00.52,Herpesviral keratitis,B0052
705,B00.53,Herpesviral conjunctivitis,B0053
706,B00.59,Other herpesviral disease of eye,B0059
707,B00.7,Disseminated herpesviral disease,B007
708,B00.8,Other forms of herpesviral infections,B008
709,B00.81,Herpesviral hepatitis,B0081
710,B00.82,Herpes simplex myelitis,B0082
711,B00.89,Other herpesviral infection,B0089
712,B00.9,"Herpesviral infection, unspecified",B009
713,B01,Varicella [chickenpox],B01
714,B01.0,Varicella meningitis,B010
715,B01.1,"Varicella encephalitis, myelitis and encephalomyelitis",B011
716,B01.11,Varicella encephalitis and encephalomyelitis,B0111
717,B01.12,Varicella myelitis,B0112
718,B01.2,Varicella pneumonia,B012
719,B01.8,Varicella with other complications,B018
720,B01.81,Varicella keratitis,B0181
721,B01.89,Other varicella complications,B0189
722,B01.9,Varicella without complication,B019
723,B02,Zoster [herpes zoster],B02
724,B02.0,Zoster encephalitis,B020
725,B02.1,Zoster meningitis,B021
726,B02.2,Zoster with other nervous system involvement,B022
727,B02.21,Postherpetic geniculate ganglionitis,B0221
728,B02.22,Postherpetic trigeminal neuralgia,B0222
729,B02.23,Postherpetic polyneuropathy,B0223
730,B02.24,Postherpetic myelitis,B0224
731,B02.29,Other postherpetic nervous system involvement,B0229
732,B02.3,Zoster ocular disease,B023
733,B02.30,"Zoster ocular disease, unspecified",B0230
734,B02.31,Zoster conjunctivitis,B0231
735,B02.32,Zoster iridocyclitis,B0232
736,B02.33,Zoster keratitis,B0233
737,B02.34,Zoster scleritis,B0234
738,B02.39,Other herpes zoster eye disease,B0239
739,B02.7,Disseminated zoster,B027
740,B02.8,Zoster with other complications,B028
741,B02.9,Zoster without complications,B029
742,B03,Smallpox,B03
743,B04,Monkeypox,B04
744,B05,Measles,B05
745,B05.0,Measles complicated by encephalitis,B050
746,B05.1,Measles complicated by meningitis,B051
747,B05.2,Measles complicated by pneumonia,B052
748,B05.3,Measles complicated by otitis media,B053
749,B05.4,Measles with intestinal complications,B054
750,B05.8,Measles with other complications,B058
751,B05.81,Measles keratitis and keratoconjunctivitis,B0581
752,B05.89,Other measles complications,B0589
753,B05.9,Measles without complication,B059
754,B06,Rubella [German measles],B06
755,B06.0,Rubella with neurological complications,B060
756,B06.00,"Rubella with neurological complication, unspecified",B0600
757,B06.01,Rubella encephalitis,B0601
758,B06.02,Rubella meningitis,B0602
759,B06.09,Other neurological complications of rubella,B0609
760,B06.8,Rubella with other complications,B068
761,B06.81,Rubella pneumonia,B0681
762,B06.82,Rubella arthritis,B0682
763,B06.89,Other rubella complications,B0689
764,B06.9,Rubella without complication,B069
765,B07,Viral warts,B07
766,B07.0,Plantar wart,B070
767,B07.8,Other viral warts,B078
768,B07.9,"Viral wart, unspecified",B079
769,B08,"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified",B08
770,B08.0,Other orthopoxvirus infections,B080
771,B08.01,Cowpox and vaccinia not from vaccine,B0801
772,B08.010,Cowpox,B08010
773,B08.011,Vaccinia not from vaccine,B08011
774,B08.02,Orf virus disease,B0802
775,B08.03,Pseudocowpox [milker's node],B0803
776,B08.04,"Paravaccinia, unspecified",B0804
777,B08.09,Other orthopoxvirus infections,B0809
778,B08.1,Molluscum contagiosum,B081
779,B08.2,Exanthema subitum [sixth disease],B082
780,B08.20,"Exanthema subitum [sixth disease], unspecified",B0820
781,B08.21,Exanthema subitum [sixth disease] due to human herpesvirus 6,B0821
782,B08.22,Exanthema subitum [sixth disease] due to human herpesvirus 7,B0822
783,B08.3,Erythema infectiosum [fifth disease],B083
784,B08.4,Enteroviral vesicular stomatitis with exanthem,B084
785,B08.5,Enteroviral vesicular pharyngitis,B085
786,B08.6,Parapoxvirus infections,B086
787,B08.60,"Parapoxvirus infection, unspecified",B0860
788,B08.61,Bovine stomatitis,B0861
789,B08.62,Sealpox,B0862
790,B08.69,Other parapoxvirus infections,B0869
791,B08.7,Yatapoxvirus infections,B087
792,B08.70,"Yatapoxvirus infection, unspecified",B0870
793,B08.71,Tanapox virus disease,B0871
794,B08.72,Yaba pox virus disease,B0872
795,B08.79,Other yatapoxvirus infections,B0879
796,B08.8,Other specified viral infections characterized by skin and mucous membrane lesions,B088
797,B09,Unspecified viral infection characterized by skin and mucous membrane lesions,B09
798,B10,Other human herpesviruses,B10
799,B10.0,Other human herpesvirus encephalitis,B100
800,B10.01,Human herpesvirus 6 encephalitis,B1001
801,B10.09,Other human herpesvirus encephalitis,B1009
802,B10.8,Other human herpesvirus infection,B108
803,B10.81,Human herpesvirus 6 infection,B1081
804,B10.82,Human herpesvirus 7 infection,B1082
805,B10.89,Other human herpesvirus infection,B1089
806,B15,Acute hepatitis A,B15
807,B15.0,Hepatitis A with hepatic coma,B150
808,B15.9,Hepatitis A without hepatic coma,B159
809,B16,Acute hepatitis B,B16
810,B16.0,Acute hepatitis B with delta-agent with hepatic coma,B160
811,B16.1,Acute hepatitis B with delta-agent without hepatic coma,B161
812,B16.2,Acute hepatitis B without delta-agent with hepatic coma,B162
813,B16.9,Acute hepatitis B without delta-agent and without hepatic coma,B169
814,B17,Other acute viral hepatitis,B17
815,B17.0,Acute delta-(super) infection of hepatitis B carrier,B170
816,B17.1,Acute hepatitis C,B171
817,B17.10,Acute hepatitis C without hepatic coma,B1710
818,B17.11,Acute hepatitis C with hepatic coma,B1711
819,B17.2,Acute hepatitis E,B172
820,B17.8,Other specified acute viral hepatitis,B178
821,B17.9,"Acute viral hepatitis, unspecified",B179
822,B18,Chronic viral hepatitis,B18
823,B18.0,Chronic viral hepatitis B with delta-agent,B180
824,B18.1,Chronic viral hepatitis B without delta-agent,B181
825,B18.2,Chronic viral hepatitis C,B182
826,B18.8,Other chronic viral hepatitis,B188
827,B18.9,"Chronic viral hepatitis, unspecified",B189
828,B19,Unspecified viral hepatitis,B19
829,B19.0,Unspecified viral hepatitis with hepatic coma,B190
830,B19.1,Unspecified viral hepatitis B,B191
831,B19.10,Unspecified viral hepatitis B without hepatic coma,B1910
832,B19.11,Unspecified viral hepatitis B with hepatic coma,B1911
833,B19.2,Unspecified viral hepatitis C,B192
834,B19.20,Unspecified viral hepatitis C without hepatic coma,B1920
835,B19.21,Unspecified viral hepatitis C with hepatic coma,B1921
836,B19.9,Unspecified viral hepatitis without hepatic coma,B199
837,B20,Human immunodeficiency virus [HIV] disease,B20
838,B25,Cytomegaloviral disease,B25
839,B25.0,Cytomegaloviral pneumonitis,B250
840,B25.1,Cytomegaloviral hepatitis,B251
841,B25.2,Cytomegaloviral pancreatitis,B252
842,B25.8,Other cytomegaloviral diseases,B258
843,B25.9,"Cytomegaloviral disease, unspecified",B259
844,B26,Mumps,B26
845,B26.0,Mumps orchitis,B260
846,B26.1,Mumps meningitis,B261
847,B26.2,Mumps encephalitis,B262
848,B26.3,Mumps pancreatitis,B263
849,B26.8,Mumps with other complications,B268
850,B26.81,Mumps hepatitis,B2681
851,B26.82,Mumps myocarditis,B2682
852,B26.83,Mumps nephritis,B2683
853,B26.84,Mumps polyneuropathy,B2684
854,B26.85,Mumps arthritis,B2685
855,B26.89,Other mumps complications,B2689
856,B26.9,Mumps without complication,B269
857,B27,Infectious mononucleosis,B27
858,B27.0,Gammaherpesviral mononucleosis,B270
859,B27.00,Gammaherpesviral mononucleosis without complication,B2700
860,B27.01,Gammaherpesviral mononucleosis with polyneuropathy,B2701
861,B27.02,Gammaherpesviral mononucleosis with meningitis,B2702
862,B27.09,Gammaherpesviral mononucleosis with other complications,B2709
863,B27.1,Cytomegaloviral mononucleosis,B271
864,B27.10,Cytomegaloviral mononucleosis without complications,B2710
865,B27.11,Cytomegaloviral mononucleosis with polyneuropathy,B2711
866,B27.12,Cytomegaloviral mononucleosis with meningitis,B2712
867,B27.19,Cytomegaloviral mononucleosis with other complication,B2719
868,B27.8,Other infectious mononucleosis,B278
869,B27.80,Other infectious mononucleosis without complication,B2780
870,B27.81,Other infectious mononucleosis with polyneuropathy,B2781
871,B27.82,Other infectious mononucleosis with meningitis,B2782
872,B27.89,Other infectious mononucleosis with other complication,B2789
873,B27.9,"Infectious mononucleosis, unspecified",B279
874,B27.90,"Infectious mononucleosis, unspecified without complication",B2790
875,B27.91,"Infectious mononucleosis, unspecified with polyneuropathy",B2791
876,B27.92,"Infectious mononucleosis, unspecified with meningitis",B2792
877,B27.99,"Infectious mononucleosis, unspecified with other complication",B2799
878,B30,Viral conjunctivitis,B30
879,B30.0,Keratoconjunctivitis due to adenovirus,B300
880,B30.1,Conjunctivitis due to adenovirus,B301
881,B30.2,Viral pharyngoconjunctivitis,B302
882,B30.3,Acute epidemic hemorrhagic conjunctivitis (enteroviral),B303
883,B30.8,Other viral conjunctivitis,B308
884,B30.9,"Viral conjunctivitis, unspecified",B309
885,B33,"Other viral diseases, not elsewhere classified",B33
886,B33.0,Epidemic myalgia,B330
887,B33.1,Ross River disease,B331
888,B33.2,Viral carditis,B332
889,B33.20,"Viral carditis, unspecified",B3320
890,B33.21,Viral endocarditis,B3321
891,B33.22,Viral myocarditis,B3322
892,B33.23,Viral pericarditis,B3323
893,B33.24,Viral cardiomyopathy,B3324
894,B33.3,"Retrovirus infections, not elsewhere classified",B333
895,B33.4,Hantavirus (cardio)-pulmonary syndrome [HPS] [HCPS],B334
896,B33.8,Other specified viral diseases,B338
897,B34,Viral infection of unspecified site,B34
898,B34.0,"Adenovirus infection, unspecified",B340
899,B34.1,"Enterovirus infection, unspecified",B341
900,B34.2,"Coronavirus infection, unspecified",B342
901,B34.3,"Parvovirus infection, unspecified",B343
902,B34.4,"Papovavirus infection, unspecified",B344
903,B34.8,Other viral infections of unspecified site,B348
904,B34.9,"Viral infection, unspecified",B349
905,B35,Dermatophytosis,B35
906,B35.0,Tinea barbae and tinea capitis,B350
907,B35.1,Tinea unguium,B351
908,B35.2,Tinea manuum,B352
909,B35.3,Tinea pedis,B353
910,B35.4,Tinea corporis,B354
911,B35.5,Tinea imbricata,B355
912,B35.6,Tinea cruris,B356
913,B35.8,Other dermatophytoses,B358
914,B35.9,"Dermatophytosis, unspecified",B359
915,B36,Other superficial mycoses,B36
916,B36.0,Pityriasis versicolor,B360
917,B36.1,Tinea nigra,B361
918,B36.2,White piedra,B362
919,B36.3,Black piedra,B363
920,B36.8,Other specified superficial mycoses,B368
921,B36.9,"Superficial mycosis, unspecified",B369
922,B37,Candidiasis,B37
923,B37.0,Candidal stomatitis,B370
924,B37.1,Pulmonary candidiasis,B371
925,B37.2,Candidiasis of skin and nail,B372
926,B37.3,Candidiasis of vulva and vagina,B373
927,B37.31,Acute candidiasis of vulva and vagina,B3731
928,B37.32,Chronic candidiasis of vulva and vagina,B3732
929,B37.4,Candidiasis of other urogenital sites,B374
930,B37.41,Candidal cystitis and urethritis,B3741
931,B37.42,Candidal balanitis,B3742
932,B37.49,Other urogenital candidiasis,B3749
933,B37.5,Candidal meningitis,B375
934,B37.6,Candidal endocarditis,B376
935,B37.7,Candidal sepsis,B377
936,B37.8,Candidiasis of other sites,B378
937,B37.81,Candidal esophagitis,B3781
938,B37.82,Candidal enteritis,B3782
939,B37.83,Candidal cheilitis,B3783
940,B37.84,Candidal otitis externa,B3784
941,B37.89,Other sites of candidiasis,B3789
942,B37.9,"Candidiasis, unspecified",B379
943,B38,Coccidioidomycosis,B38
944,B38.0,Acute pulmonary coccidioidomycosis,B380
945,B38.1,Chronic pulmonary coccidioidomycosis,B381
